"Year...Month","Event","Deaths","Injured","Houses.Destroyed","Houses.Damaged","Directly.affected","Indirectly.Affected","Country","Category","Country_ID","Category_ID"
"1970/06","EXPLOSION",5,17,4,23,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/06","FIRE",2,4,17,4,28,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/06","FLOOD",2,6,4,23,6398,3000,"Argentina","Natural - Hydrological",1,7
"1970/06","FOG",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/06","LEAK",2,5,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/06","POLLUTION",2,6,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/06","SNOWSTORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/06","STORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/06","STRUCTURE",32,18,4,23,6398,3000,"Argentina","Other",1,9
"1970/07","ACCIDENT",2,16,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/07","DROUGHT",2,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/07","EPIDEMIC",13,294,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/07","EXPLOSION",2,2,4,1,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/07","FIRE",4,40,104,5,1013,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/07","FOG",2,15,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/07","FORESTFIRE",2,6,4,23,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/07","FROST",1,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/07","LEAK",12,7,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/07","PLAGUE",2,6,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/07","SNOWSTORM",2,6,4,23,6398,175,"Argentina","Natural - Meteorological",1,8
"1970/07","STRONGWIND",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/07","STRUCTURE",3,4,4,1,6398,3000,"Argentina","Other",1,9
"1970/08","ACCIDENT",1,6,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/08","AVALANCHE",2,6,4,23,6398,3000,"Argentina","Natural - Geological",1,6
"1970/08","DROUGHT",2,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/08","EPIDEMIC",3,247,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/08","EXPLOSION",1,6,4,4,12,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/08","FIRE",1,9,4,2,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/08","FORESTFIRE",2,6,4,23,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/08","LANDSLIDE",2,6,1,23,6398,3000,"Argentina","Natural - Geological",1,6
"1970/08","LEAK",2,6,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/08","OTHER",2,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/08","POLLUTION",2,6,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/08","STORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/08","STRUCTURE",1,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/09","ACCIDENT",4,10,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/09","DROUGHT",2,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/09","EPIDEMIC",22,123,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/09","EPIZOOTIA",2,6,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/09","EXPLOSION",1,4,4,23,68,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/09","FIRE",5,4,5,12,84,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/09","FLOOD",2,6,4,23,6398,3000,"Argentina","Natural - Hydrological",1,7
"1970/09","FORESTFIRE",1,1,4,23,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/09","HAILSTORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/09","PLAGUE",2,6,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/09","POLLUTION",2,6,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/09","STORM",1,6,4,23,6398,1600,"Argentina","Natural - Meteorological",1,8
"1970/09","STRONGWIND",2,6,4,23,6398,3,"Argentina","Natural - Meteorological",1,8
"1970/09","STRUCTURE",4,4,4,23,6398,3000,"Argentina","Other",1,9
"1970/10","ACCIDENT",10,12,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/10","DROUGHT",2,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/10","EPIDEMIC",3,7,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/10","EXPLOSION",2,6,4,1,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/10","FIRE",11,36,42,55,304,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/10","FLOOD",2,6,4,23,6398,3000,"Argentina","Natural - Hydrological",1,7
"1970/10","FOG",48,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/10","FROST",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/10","HAILSTORM",2,6,4,23,1200,3000,"Argentina","Natural - Meteorological",1,8
"1970/10","POLLUTION",2,6,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/10","RAIN",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/10","SNOWSTORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/10","STORM",2,6,4,23,6398,16000,"Argentina","Natural - Meteorological",1,8
"1970/10","STRONGWIND",1,30,4,400,6398,620,"Argentina","Natural - Meteorological",1,8
"1970/10","STRUCTURE",3,1,4,23,6398,3000,"Argentina","Other",1,9
"1970/11","EPIDEMIC",2,6,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/11","EXPLOSION",3,2,4,23,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/11","FIRE",4,32,4,23,6,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/11","FROST",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/11","HAILSTORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/11","PLAGUE",2,6,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/11","RAIN",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/11","STORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/11","STRONGWIND",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/11","STRUCTURE",6,5,4,23,6398,3000,"Argentina","Other",1,9
"1970/12","ACCIDENT",15,2,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
