Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
2010/10,FIRE,14,1,4,,749,,2828,2832,,
2010/11,EPIDEMIC,8,3,,,,,,32,,
2010/11,FIRE,11,,2,,521,,2205,2207,,
2010/12,EPIDEMIC,6,,,,,,,96,,
2010/12,FIRE,9,,,,323,,619,619,,
2011/00,CYCLONES,17,,,,,,,,,
2011/00,EPIDEMIC,30,,,,,,,486,,
2011/00,FEUX DE BROUSSES,13,,,,,,,,,
2011/01,EPIDEMIC,12,32,,,,,,283,,
2011/01,FEUX DE BROUSSES,9,,,,,,,,,
2011/01,FIRE,4,,,,36,,43,43,,
2011/02,CYCLONES,28,20,64,7,7406,16545,100106,100170,24239,
2011/02,EPIDEMIC,4,10,,,,,,28,,
2011/02,FIRE,3,,4,,117,,362,366,,
2011/03,EPIDEMIC,4,4,,,,,,147,,
2011/03,FIRE,3,2,5,,89,,323,328,,
2011/04,EPIDEMIC,5,3,,,,,,175,,
2011/04,FIRE,5,,,,643,,2699,2699,,
2011/05,EPIDEMIC,7,1,,,,,,635,,
2011/05,FIRE,7,,4,,96,,321,325,,
2011/06,EPIDEMIC,3,4,,,,,,146,,
2011/06,FIRE,1,,1,,56,,,1,,
2011/07,EPIDEMIC,2,,,,,,,121,,
2011/07,FIRE,1,,3,,21,,,3,,
2011/08,EPIDEMIC,4,4,,,,,,24,,
2011/08,FIRE,1,4,1,,17,,,1,,
2011/09,EPIDEMIC,3,4,,,,,,9,,
2011/09,FIRE,1,1,2,,23,,,2,,
2011/10,EPIDEMIC,12,10,,,,,,230,,38
2011/10,FIRE,1,,,,7,,,,,
2011/11,EPIDEMIC,7,2,,,,,,12,,
2011/12,EPIDEMIC,10,16,,,,,,114,,
2011/12,FIRE,2,,,,54,,224,224,,
2011/12,POLLUTION MARINE,1,,,,,,,,,
2012/00,CYCLONES,19,,,,,,,,,
2012/00,EPIDEMIC,32,10,,,,,,141,,
2012/01,EPIDEMIC,20,7,,,,,,577,,
2012/01,FIRE,1,,1,,4,,,1,,
2012/02,CYCLONES,68,112,299,3,45531,35994,332204,332503,,
2012/02,EPIDEMIC,8,3,,,,,,132,,
2012/02,FIRE,1,,2,,9,,,2,,
2012/03,EPIDEMIC,9,3,,,,,,327,,
2012/03,FIRE,1,,,,7,,,,,
2012/04,EPIDEMIC,14,2,,,,,,184,,
2012/04,FIRE,1,,,,13,,,,,
2012/05,EPIDEMIC,4,,,,,,,65,,
2012/05,FIRE,1,,,,11,,,,,
2012/06,EPIDEMIC,2,,,,,,,23,,
2012/06,FIRE,1,,1,,13,,,1,,
2012/07,EPIDEMIC,1,2,,,,,,5,,
2012/07,FIRE,1,,2,,29,,,2,,
2012/07,POLLUTION MARINE,1,,,,,,,,,
2012/08,FIRE,1,,,,23,,,,,
2012/09,EPIDEMIC,2,2,,,,,,6,,
2012/09,FIRE,1,,2,,12,,,2,,
2012/10,EPIDEMIC,8,7,,,,,,226,,
2012/10,FIRE,1,1,1,,32,,,1,,
2012/11,EPIDEMIC,11,6,,,,,,39,,
2012/11,FIRE,3,,6,,41,,454,460,,
2012/12,CYCLONES,1,2,,,,,,4,,
2012/12,EPIDEMIC,11,12,,,,,,48,,
2012/12,FIRE,6,,,,105,,224,224,,
2013/00,EPIDEMIC,3,3,,,,,,133,,
2013/00,LOCUST,43,,,,,,,,,
2013/01,CYCLONES,16,10,,,171,2215,6815,6815,2370,
2013/01,EPIDEMIC,27,17,,,,,,322,,
2013/01,FIRE,1,,,,52,,191,191,,
2013/02,CYCLONES,10,26,98,18,5167,34669,66845,66943,33940,
2013/02,EPIDEMIC,10,6,,,,,,1007,,
2013/02,FIRE,5,,,,136,,639,639,,
2013/03,EPIDEMIC,4,,,,,,,172,,
2013/03,FIRE,2,,,,65,,490,490,,
2013/04,EPIDEMIC,7,5,,,,,,38,,
2013/05,EPIDEMIC,7,2,,,,,,120,,
2013/05,FIRE,1,,,,35,,135,135,,
2013/06,FIRE,3,,,,128,,432,432,,
2013/07,EPIDEMIC,2,1,,,,,,24,,
2013/07,FIRE,2,,,,151,,173,173,,
2013/08,EPIDEMIC,1,,,,,,,6,,
2013/08,FIRE,7,,,,729,,1343,1343,,
2013/09,EPIDEMIC,4,,,,,,,4,,
2013/10,EPIDEMIC,8,6,,,,,,25,,
2013/11,EPIDEMIC,12,16,,,,,,197,,
2013/12,EPIDEMIC,6,5,,,,,,46,,
2014/01,EPIDEMIC,25,10,,,,,,409,,
2014/01,LOCUST,7,,,,,,,,,
2014/02,EPIDEMIC,31,14,,,,,,46,,
2014/02,LOCUST,10,,,,,,,,,
2014/03,CYCLONES,8,3,,9,437,174,2141,2141,,
2014/03,EPIDEMIC,14,13,,,,,,576,,
2014/03,FIRE,1,,,,262,,1710,1710,,
2014/03,LOCUST,17,,,,,,,,,
2014/04,EPIDEMIC,4,,,,,,,7,,
2014/05,EPIDEMIC,4,12,,,,,,107,,
2014/06,ACCIDENT,1,19,,1,,,,,,
2014/06,EPIDEMIC,3,2,,,,,,49,,
2014/07,ACCIDENT,1,7,34,,,,,34,,
2014/07,EPIDEMIC,1,,,,,,,6,,
2014/08,EPIDEMIC,4,7,,,,,,16,,
2014/09,EPIDEMIC,3,7,,,,,,11,,
2014/10,EPIDEMIC,7,17,,,,,,21,,
2014/11,EPIDEMIC,2,2,,,,,,4,,
2014/12,EPIDEMIC,9,5,,,,,,59,,
2015/02,CYCLONES,60,86,68,9,6086,826,204449,204517,39691,
2015/02,DROUGHT,3,103,,,,,,,,
2015/02,LANDSLIDE,2,14,,,44,,566,,,
2015/03,FLOOD,11,12,,,828,,92593,92593,39319,
2015/04,FIRE,1,,,,13,,65,,,
2016/02,FLOOD,5,6,32,,34,7701,31208,,1817,
2017/03,ACCIDENT,2,,,,29,1165,12126,,9110,
2017/03,CYCLONES,55,81,253,17,40002,68496,429024,,244028,
2017/05,CYCLONES,1,,,1,518,1159,8381,,3191,
2018/06,CYCLONES,16,5,1,,161,1770,31591,,24144,
2018/07,CYCLONES,69,66,29,27,8578,21565,180609,,50122,
2018/09,CYCLONES,2,1,,2,,,,,,
TOTAL,,2392,2203,3315,898,456183,213471,2925237,2233134,708867,38
