Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
2001/02,Floods,19,,,,,55367,55367,,,
2001/03,Floods,5,,,,,2722,2722,,,
2001/11,Rain Storm,1,,,,,9,9,,,
2001/12,Floods,6,,,,,2431,2431,,,
2002/01,Floods,3,,,,,50746,50746,,,
2002/02,Floods,3,,,,,1005,1005,,,
2002/03,Floods,3,,,,,1617,1617,,,
2002/04,Floods,7,,,,,7627,7627,,,
2002/12,Floods,2,1,,,,1456,1456,,,
2003/01,Floods,14,,,,,41938,41938,,,
2003/02,Floods,10,,,,,8810,8810,,,
2003/03,Floods,1,4,,,,1872,1872,,,
2003/11,Rain Storm,2,,,,,160,160,,,
2003/12,CYCLONE,1,,,,,12,12,,,
2003/12,Heavy rains and winds,1,,,,,43,43,,,
2003/12,Heavy winds,2,,,,,191,191,,,
2003/12,STORM,1,,,,,29,29,,,
2003/12,Strong winds,1,,,,,8,8,,,
2003/12,Strong winds and heavy rains,1,1,,,,11,11,,,
2004/01,Floods,1,,,,,826,826,,,
2004/01,Heavy winds,1,,,,,2,2,,,
2004/01,Rainstorm,2,,,,,48,48,,,
2004/01,STORM,2,,,,,47,47,,,
2004/02,Floods,7,3,,,,1294,1294,,,
2004/03,Floods,4,,,,,69,69,,,
2004/09,Rainstorm,1,,,,,586,586,,,
2004/10,Strong winds,1,,,,,39,39,,,
2004/11,Hail storm,1,,,,,39,39,,,
2004/11,Heavy winds,4,,,,,17,17,,,
2004/11,Rainstorm,6,,,,,406,406,,,
2004/11,Wind Storm,3,,,,,283,283,,,
2004/12,Floods,8,2,,,,2609,2609,,,
2004/12,Rainstorm,3,4,,,,548,548,,,
2004/12,Strong winds,1,,,,,132,132,,,
2005/01,Armyworm,8,,,,,10473,10473,,,
2005/01,Floods,3,,,,,357,357,,,
2005/01,HAILSTORM,1,,,,,83,83,,,
2005/03,Heavy rains,3,,,,,791,791,,,
2005/12,FIRE,1,,,,,16,16,,,
