Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
2016/03,FLOOD,9,17,23,,318,1422,578,1264,1084,1148
2016/03,Heavy Rain With Lightnings,1,,3,,83,8,548,546,,3
2016/04,FLOOD,2,10,,,,500,,322,,
2016/04,Heavy Rain With Lightnings,1,2,2,,3,,,,,
2016/04,LANDSLIDE,1,74,,,575,417,2500,2500,,
2016/07,COASTAL EROSION,1,100,300,,,1000,1800,6000,,
2016/07,FIRE,2,7,2,,1,,,6,,
2016/08,FLOOD,2,26,4,8,283,283,,416,,
2016/08,ROAD ACCIDENT,2,5,38,,,,,32,,28
2016/09,FLOOD,5,10,,1,47,72,,189,,1
2016/10,FLOOD,4,20,10,,831,76,459,214,,944
2016/10,Heavy Rain With Lightnings,1,,,,7,50,,300,,
2016/12,FLOOD,1,,,,41,35,205,205,,
2017/02,CHOLERA,1,21,,,,,,420,,
2017/02,FLOOD,2,10,40,,36,49,292,292,231,231
2017/02,Heavy Rain With Lightnings,1,4,15,,30,30,180,180,180,180
2017/03,FLOOD,1,,,,,79,,474,,
2017/03,Heavy Rain With Lightnings,1,,,,,45,275,275,,
2017/04,Heavy Rain With Lightnings,1,,,,21,28,170,170,,
2017/04,LIGHTNING,1,2,6,,,2,8,6,,6
2017/09,LIGHTNING,1,1,10,,,11,66,66,,10
2019/10,FLOOD,2,,,,,20,185,40,,
2019/12,FLOOD,1,,,,,,120,12,120,
2020/02,DROUGHT,1,2,2483,354000,,,177000,354000,530,530
2020/02,Heavy Rain With Lightnings,1,,,,,27,27,34,27,27
2020/03,FLOOD,1,50,10,,,,,,,
2020/12,FAILEN TREES,1,1,2,,,,46,111,54,11
2020/12,RAIN,5,2,,1,,,370,620,50,80
2021/02,EPIDEMIC COVID-19 Gen Records,1,6,,,,,,,,
TOTAL,,199,3263,11053,354129,12826,53249,446397,652773,6548,26146
