Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1970/10,STRONGWIND,5,1,30,,,400,,620,,150
1970/10,STRUCTURE,2,3,1,,,,,,,
1970/11,EPIDEMIC,3,,,,,,,,,
1970/11,EXPLOSION,2,3,2,,,,,,,504
1970/11,FIRE,22,4,32,,,,6,,,
1970/11,FROST,4,,,,,,,,,
1970/11,HAILSTORM,2,,,,,,,,,
1970/11,PLAGUE,1,,,,,,,,,
1970/11,RAIN,2,,,,,,,,,
1970/11,STORM,6,,,,,,,,,
1970/11,STRONGWIND,5,,,,,,,,,
1970/11,STRUCTURE,5,6,5,,,,,,,
1970/12,ACCIDENT,3,15,2,,,,,,,
1970/12,DROUGHT,7,,,,,,,,,
1970/12,EARTHQUAKE,1,,,,,,,,,
1970/12,EPIDEMIC,2,1,10,,,,,,,
1970/12,FIRE,39,24,4,,59,5,200,,,800
1970/12,FLOOD,6,3,,,,,,,,
1970/12,FORESTFIRE,18,,2,,,,6,,,
1970/12,FROST,12,,,,,,,,,
1970/12,HAILSTORM,5,,,,,,,,,
1970/12,LANDSLIDE,1,1,6,,,,,,,
1970/12,PLAGUE,2,,,,,,,,,
1970/12,POLLUTION,3,,12,,,,,,,
1970/12,RAIN,1,,,,,,,,,
1970/12,STORM,6,,4,,1,,,,,
1970/12,STRONGWIND,1,,,,,,,,,
1970/12,STRUCTURE,3,1,2,,,,,,,
1971/01,ALLUVION,1,,,,,,,,,
1971/01,ELECTRICSTORM,1,3,3,,,,,,,
1971/01,EPIDEMIC,1,7,32,,,,,,,
1971/01,EXPLOSION,1,1,2,,,,,,,
1971/01,FIRE,4,1,2,,,,,,,
1971/01,FLOOD,20,4,,1,,,,600,,5190
1971/01,FORESTFIRE,8,,,,,,,,,
1971/01,HAILSTORM,2,,,,,,,,,
1971/01,POLLUTION,2,,70,,,,,,,
1971/01,STORM,20,,5,,,,,,,
1971/01,STRONGWIND,4,,,,,110,440,,,
1971/02,DROUGHT,1,,,,,,,,,
1971/02,EPIDEMIC,3,,6,,,,,,,
1971/02,FIRE,4,,1,,,,,,,
1971/02,FLOOD,34,2,1,1,,,2000,,,1408
1971/02,HAILSTORM,10,,,,,,,,,
1971/02,RAIN,2,,,,,,,,,
1971/02,STORM,8,1,,,1,,,,,
1971/02,STRONGWIND,2,,,,,,,,,
1971/02,STRUCTURE,3,,6,,2,,,,,
1971/03,ALLUVION,1,,,2,,,,,,
1971/03,FIRE,7,1,2,,1,,,,,
1971/03,FLOOD,3,,,,,,,,,500
1971/03,STORM,3,,,,,,,,,
1971/03,STRUCTURE,2,,1,,,,,,,
1971/04,EXPLOSION,1,,3,,,,,,,
1971/04,FIRE,5,,,,,,,,,
1971/04,FLOOD,2,,,,,,,,,600
1971/04,STORM,2,,,,,,,,,
1971/04,STRUCTURE,1,,,,1,,,,,
1971/05,FIRE,5,2,3,,2,,,,,
1971/05,FLOOD,4,,,,,,,,,650
1971/05,STRONGWIND,1,,,,,,,,,
1971/06,FIRE,5,1,5,,,,,,,
1971/06,FLOOD,1,,,,,,,,,
1971/06,FROST,1,,,,,,,,,
1971/06,SNOWSTORM,2,,,,,,,,,
1971/06,STORM,5,,,,,,,,,
1971/07,EXPLOSION,2,,3,,1,,,,,
1971/07,FIRE,4,1,,,20,,,,,120
1971/07,FLOOD,5,,,,,,,,,
1971/07,FORESTFIRE,2,,,,,,,,,
1971/07,LANDSLIDE,1,,,,,,,,,
1971/07,SNOWSTORM,8,1,,,,,,,,
1971/07,STRUCTURE,1,,1,,,,,,,
1971/08,FIRE,7,,2,,18,,12,,,60
1971/08,FLOOD,3,,,,,,,,,
1971/08,SNOWSTORM,2,,,,,,,,,
1971/08,STORM,2,1,,,,,,,,
1971/08,STRONGWIND,1,,,,,,,,,
1971/09,ALLUVION,1,,,,,,,,,
1971/09,EXPLOSION,1,,4,,,,,,,
