Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1970/09,EARTHQUAKE,1,,,,,,,,,
1970/09,ELECTRICSTORM,2,,,,1,,,,,
1970/09,EPIDEMIC,15,2,3,,,,,1,,
1970/09,EPIZOOTIA,1,,,,,,,,,
1970/09,FIRE,4,,,,,,,,,
1970/09,LANDSLIDE,3,,,,,200,,,,
1970/09,PLAGUE,5,,,,,,,,,
1970/09,POLLUTION,4,,,,,,,,,
1970/09,RAIN,12,,,,,,,,,
1970/09,SNOWSTORM,8,,,,,,,,,
1970/09,STRONGWIND,3,,,,,,,,,
1970/09,STRUCTURE,1,,,,,,,,,
1970/10,EPIDEMIC,29,14,4,,,,,,,
1970/10,EPIZOOTIA,6,,,,,,,,,
1970/10,EXPLOSION,3,,,,,,,,,
1970/10,FIRE,5,2,,,8,,13,,,
1970/10,FLOOD,2,,,,,,,,,
1970/10,PLAGUE,7,,,,,,,,,
1970/10,POLLUTION,2,,,,,,,,,
1970/10,RAIN,6,,,,,,,,,
1970/10,SNOWSTORM,1,,,,,,,,,
1970/10,STRONGWIND,8,,,,,,,,,
1970/10,STRUCTURE,3,,,,,,,,,
1970/10,SURGE,1,,,,,,,,,
1970/11,ACCIDENT,5,4,,,,,,,,
1970/11,ALLUVION,1,,,,,,,,,
1970/11,DROUGHT,7,,,,,,,,,
1970/11,EARTHQUAKE,1,,,,,,,,,
1970/11,ELECTRICSTORM,2,1,,,,,,,,
1970/11,EPIDEMIC,8,25,15,,,,,,,
1970/11,FIRE,10,1,,,66,2,400,,,
1970/11,FLOOD,4,1,,2,21,,,,,
1970/11,HAILSTORM,1,,,,,,,,,
1970/11,LANDSLIDE,1,2,,,,,,,,
1970/11,PLAGUE,9,,,,,,,,,
1970/11,POLLUTION,4,1,,,,,,,,
1970/11,RAIN,2,,,,,,,,,
1970/11,SPATE,2,,,,,,,,,
1970/11,STRONGWIND,2,,,,,,,,,
1970/12,ACCIDENT,5,10,2,,,,,,,
1970/12,ALLUVION,1,3,,,1,,,,,
1970/12,DROUGHT,3,,,,,,,,,
1970/12,EARTHQUAKE,33,24,,4,40,300,,15000,,
1970/12,ELECTRICSTORM,6,6,,,,,,,,
1970/12,EPIDEMIC,8,,5,,,,,,,
1970/12,EXPLOSION,2,3,,,,,,,,
1970/12,FIRE,14,2,,,21,,15,,,
1970/12,FOG,5,,,,,,,,,
1970/12,LANDSLIDE,5,,,,,,,,,
1970/12,PLAGUE,1,,,,,,,,,
1970/12,POLLUTION,12,,,,,,,,,
1970/12,RAIN,12,,,,,,,,,
1970/12,SNOWSTORM,5,,,,,,,,,
1970/12,STRONGWIND,1,,,,,,,,,
1971/01,EPIDEMIC,1,,,,,,,,,
1971/01,OTHER,1,,,,,,,,,
1971/02,ALLUVION,1,40,,,,,,,,
1971/02,LANDSLIDE,1,,,,,,,,,
1971/03,ACCIDENT,1,2,,,,,,,,
1971/03,ALLUVION,5,1006,,,1,,150,,,
1971/03,EARTHQUAKE,1,,,,,,,,,
1971/03,EPIDEMIC,2,,,,,,,,,
1971/03,FIRE,8,2,,,1,,,,,
1971/03,FLOOD,49,3,,,,800,4000,1450,,
1971/03,HAILSTORM,1,,,,,,,,,
1971/03,LANDSLIDE,9,1,,,3,,,,,
1971/03,OTHER,2,,,,,,,,,
1971/03,PLAGUE,3,,,,,,,,,
1971/03,POLLUTION,2,,,,,,,,,
1971/03,RAIN,29,4,,,,300,,,,
1971/03,SNOWSTORM,1,,,,,,,,,
1971/03,STRUCTURE,8,3,,,1,,,,,
1971/04,ACCIDENT,4,1,,,,,,7,,
1971/04,ALLUVION,2,3,,,24,,120,,,
1971/04,EPIDEMIC,5,2,,,,,,,,
1971/04,FIRE,3,,,,,,,,,
1971/04,FLOOD,8,,,,,,,,,
1971/04,FOG,2,,,,,,,,,
1971/04,FROST,1,,,,,,,,,
1971/04,HAILSTORM,3,,,,,,,,,
1971/04,LANDSLIDE,10,7,,,77,,350,,,
1971/04,OTHER,1,,,,,,,,,
1971/04,PLAGUE,7,,,,,,,,,
1971/04,POLLUTION,2,,,,,,,,,
1971/04,RAIN,17,,,,,,,,,
1971/04,SEDIMENTATION,1,,,,,,,,,
1971/04,STORM,1,,,,,,,,,
1971/04,STRONGWIND,2,2,,,,,,,,
1971/04,STRUCTURE,2,,,,,,,,,
1971/04,SURGE,2,,,,,,,,,
1971/05,ACCIDENT,1,3,,,,,,,,
1971/05,DROUGHT,1,,,,,,,,,
1971/05,EARTHQUAKE,2,5,,,,,,,,
1971/05,EPIDEMIC,2,,,,,,,,,
1971/05,EXPLOSION,1,,,,,,,,,
1971/05,FIRE,1,,,,,,,,,
1971/05,FLOOD,2,,,,,,,,,
1971/05,LANDSLIDE,1,,,,,,,,,
1971/05,OTHER,1,,,,,,,,,
1971/05,PLAGUE,2,,,,,,,,,
1971/05,POLLUTION,1,,,,,,,,,
1971/05,RAIN,2,,,,,,,,,
1971/05,SEDIMENTATION,1,,,,,500,,,,
1971/05,STORM,1,,,,,,,,,
1971/05,STRUCTURE,1,,,,,,,,,
1971/06,ACCIDENT,1,1,,,,,,,,
1971/06,EARTHQUAKE,1,,,,,,,,,
1971/06,EPIDEMIC,8,45,17,,,,,,,
1971/06,FIRE,2,,,,,,,,,
1971/06,FLOOD,1,,,,,,,,,
1971/06,FROST,1,,,,,,,,,
1971/06,LEAK,1,1,,,,,,,,
1971/06,OTHER,2,,,,,,,,,
1971/06,PLAGUE,3,,,,,,,,,
1971/06,POLLUTION,1,,,,,,,,,
1971/06,STRUCTURE,1,,,,,,,,,
1971/06,SURGE,2,,,,,,,,,
1971/07,ACCIDENT,2,2,,,,,,,,
1971/07,EARTHQUAKE,1,,,,,,,,,
1971/07,EPIDEMIC,4,,,,,,,,,
1971/07,FIRE,5,2,,,6,,,,,
1971/07,FROST,1,,,,,,,,,
1971/07,HEATWAVE,1,,,,,,,,,
1971/07,LANDSLIDE,2,1,,,,,,,,
1971/07,OTHER,1,,,,,,,,,
1971/07,PLAGUE,1,,,,,,,,,
1971/07,POLLUTION,1,,,,,,,,,
1971/07,STRONGWIND,1,,,,,,,,,
1971/07,STRUCTURE,2,,,,,,,,,
1971/08,ACCIDENT,1,2,,,,,,,,
1971/08,ALLUVION,1,,,,,,,,,
1971/08,EARTHQUAKE,1,,,,,,,,,
1971/08,EPIDEMIC,1,,,,,,,,,
1971/08,EPIZOOTIA,1,,,,,,,,,
1971/08,FIRE,3,,,,3,,30,,,
1971/08,FORESTFIRE,1,,,,,,,,,
1971/08,FROST,3,,,,,,,,,
1971/08,HAILSTORM,1,,,,,,,,,
1971/08,LEAK,1,1,,,,,,,,
1971/08,OTHER,6,,,,,,,,,
1971/08,PLAGUE,6,,,,,,,,,
1971/08,POLLUTION,2,,,,,,,,,
1971/08,RAIN,7,,,,,,,,,
1971/08,STRONGWIND,2,,,,,,,,,
1971/08,STRUCTURE,3,,,,,,,,,
1971/08,SURGE,1,,,,,,,,,
1971/09,ALLUVION,1,,,,,,,,,
1971/09,EPIDEMIC,2,,,,,,,,,
1971/09,LANDSLIDE,1,,,,,,,,,
1971/09,POLLUTION,5,,,,,,,,,
1971/09,SEDIMENTATION,1,,,,,,,,,
1971/09,STORM,1,1,,,,,,,,
1971/09,STRONGWIND,1,,,,,,,,,
1971/09,STRUCTURE,7,,,,,,,,,
1971/10,ACCIDENT,1,4,,,,,,,,
1971/10,EARTHQUAKE,2,5,,,,,,,,
1971/10,EXPLOSION,1,4,,12,,,,,,
1971/10,FIRE,3,,2,,,,,,,
1971/10,FLOOD,1,2,,,48,,250,,,
1971/10,FORESTFIRE,1,,,,,,,,,
1971/10,HAILSTORM,4,,,,,,,,,
1971/10,PLAGUE,1,,,,,,,,,
1971/10,POLLUTION,1,,,,,,,,,
1971/10,RAIN,1,,,,,,,,,
1971/10,STORM,3,3,,,6,,,,,
1971/10,STRONGWIND,1,,,,,,,,,
1971/10,STRUCTURE,1,,,,,,,,,
1971/11,ACCIDENT,3,3,,,,,,,,
